Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
177,Little Lake Elementary School District,11.26,"$11,734","$70,453"
178,Monroe Elementary School District,11.46,"$15,874","$48,304"
179,San Ysidro Elementary School District,11.55,"$14,474","$55,684"
180,Forestville Elementary School District,11.6,"$15,243","$67,887"
181,Wheatland School District,11.62,"$12,849","$64,268"
182,Corona Norco Unified School District,11.67,"$11,351","$88,620"
183,Esparto Unified School District,11.79,"$12,223","$67,477"
184,Lake Elsinore Unified School District,11.97,"$11,718","$70,034"
185,North County Joint Union School District,12.02,"$9,035","$101,179"
186,Silver Vly Unified School District,12.13,"$14,892","$53,050"
187,Huntington Beach Union High School District,12.14,"$12,190","$84,493"
188,Whittier City School District,12.15,"$12,292","$66,857"
189,Vallecito Union Elementary School District,12.18,"$14,550","$54,833"
190,Southside Elementary School District,12.18,"$8,301","$105,196"
191,Garvey Elementary School District,12.58,"$15,576","$49,096"
192,Pleasant Valley School District,12.74,"$10,193","$95,532"
193,Vista Unified School District,12.77,"$11,234","$72,046"
194,Shandon Unified School District,12.91,"$13,991","$57,292"
195,Santa Ynez Valley Union High School District,12.96,"$12,514","$83,346"
196,Rosemead Elementary School District,12.97,"$13,514","$59,788"
197,Outside Creek Elementary School District,13,"$11,843","$68,647"
198,San Diego City Unified School District,13.1,"$11,416","$70,843"
199,Bennett Valley Union School District,13.12,"$10,767","$92,750"
200,Mountain View Elementary School District,13.24,"$15,707","$47,939"
201,El Monte City School District,13.32,"$15,499","$48,984"
202,Pasadena Unified School District,13.34,"$12,727","$82,485"
203,Santa Ana Unified School District,13.56,"$12,971","$62,257"
204,Tres Pinos Union Elementary School District,13.58,"$8,872","$84,028"
205,Upland Unified School District,13.6,"$11,401","$70,571"
206,Pittsburg Unified School District,13.67,"$12,617","$64,057"
207,Mccabe Union Elementary School District,13.7,"$9,660","$99,038"
208,Hope Elementary School District,13.74,"$10,785","$73,750"
209,West Sonoma County Union High School District,13.78,"$14,022","$75,911"
210,Dixon Unified School District,14.14,"$9,814","$78,630"
211,Bogus Elementary School District,14.22,"$19,385","$47,708"
212,Loomis Union School District,14.23,"$6,341","$97,029"
213,Manteca Unified School District,14.23,"$11,523","$69,479"
214,Raymond Knowles Union Elementary School District,14.29,"$13,975","$56,406"
215,Walnut Creek Elementary School District,14.31,"$11,430","$90,062"
216,Linden Unified School District,14.46,"$11,702","$68,370"
217,Anaheim Elementary School District,14.51,"$12,553","$63,812"
218,Peninsula Union School District,14.54,"$16,865","$40,865"
219,Rincon Valley Union Elementary School District,14.85,"$13,153","$81,283"
220,Fontana Unified School District,14.87,"$13,064","$60,840"
221,Black Oak Mine Unified School District,14.9,"$10,827","$72,713"
222,San Lucas Union Elementary School District,14.91,"$14,527","$53,036"
223,Helendale Elementary School District,14.91,"$10,508","$74,400"
224,Mammoth Unified School District,15.1,"$12,016","$66,250"
225,Leggett Valley Unified School District,15.17,"$20,276","$22,292"
226,Woodland Joint Unified School District,15.34,"$12,226","$64,965"
227,Round Valley Elementary School District,15.37,"$11,510","$68,750"
228,Saddleback Valley Unified School District,15.45,"$10,660","$94,957"
229,Redlands Unified School District,15.49,"$10,625","$73,366"
230,Moreno Valley Unified School District,15.54,"$12,732","$62,131"
231,Long Beach Unified School District,15.58,"$12,489","$63,395"
232,Nevada Joint Union High School District,15.65,"$13,353","$58,756"
233,Montgomery Elementary School District,15.67,"$20,171","$44,554"
234,Gold Oak Unified Elementary School District,15.76,"$10,256","$75,139"
235,Dunham Elementary School District,15.8,"$11,135","$92,679"
236,Davis Joint Unified School District,15.85,"$12,299","$64,220"
237,Claremont Unified School District,15.86,"$11,543","$90,549"
238,Cypress Elementary School District,15.87,"$10,827","$94,365"
239,Mountain Valley Unified School District,15.92,"$18,842","$29,389"
240,El Rancho Unified School District,15.93,"$11,914","$66,210"
241,Bangor Union Elementary School District,16.01,"$16,618","$41,146"
242,Lemon Grove School District,16.06,"$12,603","$62,456"
243,El Monte Union High School District,16.14,"$14,911","$50,130"
244,Hueneme Elementary School District,16.15,"$11,921","$66,013"
245,Patterson Joint Unified School District,16.31,"$12,086","$65,025"
246,Roseville Joint Union High School District,16.32,"$11,916","$88,890"
247,Fallbrook Union Elementary School District,16.33,"$12,799","$61,221"
248,La Mesa-Spring Valley Elem,16.34,"$11,347","$68,935"
249,Durham Unified School District,16.46,"$10,785","$71,835"
